nome,cognome,sesso,data_nascita,luogo_nascita,cf
Chiara,Freschi,F,10/03/1999,Ari,FRSCHR99C50A398Y
Cecilia,Fontana,F,06/11/1970,Terlano,FNTCCL70S46L108G
Clarissa,El kaaba  armit,F,20/08/1983,Cremolino,LKBCRS83M60D149N
Lisa,Crognale,F,07/04/1994,Capralba,CRGLSI94D47B686E
Benedetta,Forcina,F,08/05/1991,Boara Pisani,FRCBDT91E48A906W
Alba,Apa,F,13/07/1978,Brognaturo,PAALBA78L53B197F
Daniela,Cattaneo,F,23/05/1992,Scanno,CTTDNL92E63I501I
Eva,Mauro,F,01/01/1996,Lesa,MRAVEA96A41E544Y
Chiara,Turci,F,29/03/1977,Sale Marasino,TRCCHR77C69H699Y
Virginia,Basile,F,18/02/1978,Grado,BSLVGN78B58E125J
Mara,Santana moscato,F,17/12/1972,Castelcivita,SNTMRA72T57C069O
Veronica,Bencivenga,F,04/12/1988,Guarda Veneta,BNCVNC88T44E240Z
Vanessa,Martys,F,02/06/1999,Podenzano,MRTVSS99H42G747S
Diana,Zolea,F,16/06/1975,Cogne,ZLODNI75H56C821C
Liliana,Vinciguerra,F,30/08/1984,Molveno,VNCLLN84M70F307E
Dora,Wenz,F,18/02/1974,Serralunga d'Alba,WNZDRO74B58I646O
Maria,Piani,F,17/01/1998,Morozzo,PNIMRA98A57F743K
Allegra,Fontana,F,14/04/1994,Urbe,FNTLGR94D54L499X
Beatrice,Cichon,F,12/07/1992,Sesto Campano,CCHBRC92L52I682E
Vera,Guerra,F,28/03/1977,Limone sul Garda,GRRVRE77C68E596M
Clara,Gromala,F,01/05/1973,Ponte San Pietro,GRMCLR73E41G856V
Nina,Pellegrino,F,18/03/1990,Bolzano Novarese,PLLNNI90C58A953M
Ambra,Barone,F,10/06/1978,Bosio,BRNMBR78H50B080V
Camilla,Calabrese,F,07/01/1977,Saint-Christophe,CLBCLL77A47H669Y
Simona,Policarpo,F,20/04/1987,San Lorenzo del Vallo,PLCSMN87D60H962R
Gigliola,Martellini,F,09/10/1975,Borno,MRTGLL75R49B054L
Maria,Sgrigna,F,20/12/1974,Galeata,SGRMRA74T60D867D
Elisa,Graffiedi,F,24/12/1998,San Martino del Lago,GRFLSE98T64I007A
Marina,Deiana,F,10/04/1976,Celle di Macra,DNEMRN76D50C441J
Letizia,Polidori,F,02/07/1988,Gabbioneta-Binanuova,PLDLTZ88L42D834P
Sabrina,Russo,F,13/05/1976,Molare,RSSSRN76E53F281J
Virginia,Tisba,F,01/03/2000,Missanello,TSBVGN00C41F249W
Marianna,Mincuzzi,F,02/05/1971,Alto,MNCMNN71E42A238O
Diana,Orlandi,F,04/04/1995,Guanzate,RLNDNI95D44E235L
Miriam,Renzulli,F,26/05/1975,Castellazzo Novarese,RNZMRM75E66C149Z
Salvina,Dotti,F,04/09/1995,Manzano,DTTSVN95P44E899U
Marika,D'ambrosio,F,15/04/1987,Capriata d'Orba,DMBMRK87D55B701O
Ida,Usami,F,24/02/1974,Sant'Agata del Bianco,SMUDIA74B64I198E
Simona,Calabrese,F,22/10/1979,Montenars,CLBSMN79R62F574O
Ornella,Mane',F,27/01/1992,Erbezzo,MNARLL92A67D420W
