nome,cognome,sesso,data_nascita,luogo_nascita,cf
Clodoveo,Brambilla,M,31/03/1971,Sedriano,BRMCDV71C31I566D
Fabrizio,Zanelli,M,18/10/1981,Gerace,ZNLFRZ81R18D975O
Angelo,Baldinotti,M,18/04/1980,Germagnano,BLDNGL80D18D983M
Valentina,Anklin,F,22/09/1978,Codrongianos,NKLVNT78P62C818S
Sofia,Mirante,F,27/11/1974,Città della Pieve,MRNSFO74S67C744G
Cinzia,Testa,F,06/09/1989,Sinalunga,TSTCNZ89P46A468V
Elio,Wirth,M,24/04/1986,San Prospero,WRTLEI86D24I133M
Cecilia,Spalletta,F,15/09/1992,Bernalda,SPLCCL92P55A801I
Giovanna,Pierucci,F,26/01/1979,Cetara,PRCGNN79A66C584O
Silvio,Pastore,M,25/02/1982,San Fermo della Battaglia,PSTSLV82B25H840P
Antonio,Mariani,M,11/09/1988,Genoni,MRNNTN88P11D968T
Annalisa,Gamberini,F,31/05/1972,Castrignano del Capo,GMBNLS72E71C336U
Carolina,Cauteruccio,F,18/12/1973,Spiazzo,CTRCLN73T58I899K
Emanuela,Cusin,F,12/06/1981,Budoni,CSNMNL81H52B248G
Alessia,Giorgi,F,14/06/1978,Castelbello-Ciardes,GRGLSS78H54C062C
Gabriella,Castelli,F,12/10/1984,Pontechianale,CSTGRL84R52G837S
Arianna,Rizzelli,F,06/02/1982,Montecchio,RZZRNN82B46F462P
Clara,Zolea,F,07/09/1971,Postalesio,ZLOCLR71P47G937B
Ilaria,Wally,F,16/10/1979,Oria,WLLLRI79R56G098X
Annabella,Stefanovich,F,24/07/1981,Afragola,STFNBL81L64A064T
