cf,id_equipaggio
CHNLVI77C70E248A,E0
MRSRLL82H54L046G,E0
RMNLSE85H58B647N,E1
MLGMNL70L54B423L,E1
FNTLRZ73H55C652K,E2
LNILCN73E57A071U,E2
SRRLSN74P58D963C,E3
RBLLNI72B43H038I,E3
DMICML94B45B867Y,E4
BLCRCC70L66A528M,E4
LTAVGN82P68E012D,E5
DSNCNZ83H46A447Y,E5
PLCLNA74D44C435O,E6
ZVLLRI72H55M098O,E6
BRNMGH78B63E632G,E7
RQBMLE81A53L337L,E7
RSSSRN76E53F281J,E8
WCHVRE74L57I322N,E8
DDMGVR81R64E163R,E9
CCCSVN91T44H760D,E9
BRTLBA94L58E897O,E10
BLLNNA92M57F171T,E10
RCLLRZ85P64H221K,E11
SSLMRA95T43A475E,E11
BSLVGN78B58E125J,E12
FRNNTN94M52F442K,E12
LNRVND80M60A085F,E13
ZLOCLR71P47G937B,E13
WLLLDI70P55E679S,E14
NKLVNT78P62C818S,E14
RBBNLS85B58H989T,E15
CRCGLI84M68A845R,E15
CSTCLT97T41G134W,E16
DLNLSS97P61C342E,E16
TRNVNT90P63L120G,E17
CPRGLI95M47F723M,E17
FNTMLD79B58E221Q,E18
BNSRLN83M65F041Y,E18
SGRCNZ98T53A365Y,E19
MNCLNE79T62A992B,E19
