cf,id_equipaggio
PGIFNC73B42A238H,E0
BSSPLA85C47B792B,E0
GNTDTL94E62F631I,E1
LCCCML76L48C523M,E1
VLLRLL89C68B219N,E2
TMBLRT87L25C330S,E2
SMNRTD87B12F301S,E3
TNISML73C23I909V,E3
TSOLCA78R07D018D,E4
GMBPIA85P41F557C,E4
BRNJCP72E23B813B,E5
BLCNLC93A69I530I,E5
NREBLA71C15F299Y,E6
CPLNNE94C13B024I,E6
WNZLDA89T05H715N,E7
PPVYRA88L22I102H,E7
SRRGNN83E07C297B,E8
MRCSNA86P27B203I,E8
DBCMLA72S61C345O,E9
SVRMRA90H58G146S,E9
TSTCNZ89P46A468V,E10
LNCMHL94S59L282Y,E10
DPLLDE79S69B496R,E11
FRCBDT91E48A906W,E11
LSRLRD91P15F557B,E12
PLLLBT87S61B441C,E12
DRSCFF88R17A744J,E13
CNNLCU72D67I265Z,E13
DNEFRC93S47A799S,E14
BZHRLD80P01B542H,E14
RBCCML76T48B034P,E15
FRRNNI78P65C695J,E15
MROBRN81H10I307J,E16
CLLCST73B09E403K,E16
MCCPFN84E29I483X,E17
FBNSLV85T03I960C,E17
RNCCRL75C12G869C,E18
MRTRSN71C62G196Z,E18
CLCLSS83T62M079U,E19
STFNLS80P62D588Z,E19
